Job Id,Job Role,Industry,Company Name,Location,Salary (INR),Experience Required (years),Qualification,Employment Type,Skills,Posted Date,Source,Work Mode,Job Rating,Total Job Openings,Applications Received,Candidates Hired,Male Candidates,Female Candidates,Other Gender Candidates,Skill Demand Score,Skill Supply Score,Skill Gap,In-demand Skills,Gender Pay Gap (%),Employee Satisfaction Score (%),Reasons for Job Switch,Average Employee Retention (Years),Turnover Rate (%),Employee Benefits,Bonuses & Benefits Included?,Employment Rate (%),Unemployment Rate (%),Total Employees in Company,Mandatory Hours per Week,Burnout Risk,Number of Certifications,Years in Industry
ADO-DAT-2245,Data Scientist,Finance,Adobe,"New York, USA",1649182,12,PhD,Internship,"React, Python",24-04-2017,Shine,Hybrid,4,8,78,1,0,1,0,65,60,5,"React, Power BI",13,80,Culture,4.3,11,"WFH, Insurance",Yes,75,25,145418,38,Medium,4,4
DEL-GRA-7962,Graphic Designer,Design,Deloitte,"Singapore, Singapore",2940922,13,M.Sc,Contract,"React, Power BI",24-11-2022,Upwork,Onsite,3.8,10,75,8,1,7,0,66,62,4,"HR Policies, Java",5,71,Work-life balance,3.1,11,"Bonuses, Perks",No,87,13,180944,41,Medium,3,10
DEL-SOF-8818,Software Engineer,Biotechnology,Deloitte,"Dubai, UAE",2194705,7,MBA,Contract,"Power BI, SQL",24-04-2021,Glassdoor,Onsite,3.6,8,249,6,4,2,0,94,65,29,"Photoshop, SEO",13,79,Job Security,2.3,13,"WFH, Insurance",Yes,75,25,232057,44,Low,5,8
PFI-MEC-2453,Mechanical Engineer,Retail,Pfizer,"Berlin, Germany",2529716,9,B.Com,Contract,"Python, React",02-11-2017,LinkedIn,Onsite,4.3,1,441,1,0,1,0,61,56,5,"AWS, Machine Learning",5,83,Salary,3.2,12,"WFH, Insurance",Yes,86,14,71675,45,Low,2,11
PFI-DAT-8537,Data Scientist,Biotechnology,Pfizer,"Paris, France",730856,7,M.Sc,Contract,"SQL, Power BI",26-08-2015,Shine,Remote,4.3,7,112,5,1,4,0,75,68,7,"Python, SEO",6,78,Job Security,3.7,16,"WFH, Insurance",No,80,20,208842,35,Low,1,9
TES-CYB-8537,Cybersecurity Analyst,Marketing,Tesla,"Mumbai, India",920800,0,M.Tech,Full-Time,"AWS, Machine Learning",14-05-2018,Upwork,Remote,4.9,2,310,2,1,1,0,68,57,11,"React, HR Policies",12,95,Growth,2.8,12,"Bonuses, Perks",Yes,75,25,165979,39,High,4,2
AMA-MEC-4183,Mechanical Engineer,Finance,Amazon,"Berlin, Germany",2473120,2,M.Sc,Contract,"Power BI, Machine Learning",24-02-2024,Shine,Onsite,4.2,8,50,1,1,0,0,93,82,11,"SQL, Photoshop",15,75,Growth,4.9,12,"Bonuses, Perks",Yes,77,23,62050,41,High,5,4
AMA-MEC-1985,Mechanical Engineer,Retail,Amazon,"Bangalore, India",1830802,12,MBA,Internship,"Photoshop, React",08-08-2015,LinkedIn,Onsite,4.6,4,176,1,1,0,0,90,89,1,"Java, Machine Learning",8,71,Growth,3.9,15,"Bonuses, Perks",Yes,78,22,74850,45,Low,1,14
AMA-BIO-6206,Biotech Researcher,IT,Amazon,"Toronto, Canada",1215367,15,M.Sc,Full-Time,"Photoshop, Power BI",10-09-2018,Upwork,Hybrid,3.8,9,187,9,1,8,0,64,84,-20,"SQL, Python",10,78,Job Security,3.8,17,"Bonuses, Perks",No,90,10,218957,44,Low,2,16
GOO-DAT-3244,Data Scientist,Manufacturing,Google,"London, UK",1666517,5,BBA,Part-time,"Machine Learning, React",06-05-2021,Upwork,Onsite,4.5,1,352,1,1,0,0,85,57,28,"Photoshop, SEO",7,72,Culture,2.1,13,"Bonuses, Perks",Yes,77,23,143237,38,Low,5,7
DEL-HR -7039,HR Manager,Finance,Deloitte,"London, UK",2978478,0,M.Com,Internship,"Python, Photoshop",14-04-2023,Glassdoor,Onsite,4.4,4,52,3,2,1,0,68,55,13,"AWS, Python",13,84,Culture,5.6,12,"WFH, Insurance",Yes,76,24,55487,35,Medium,4,2
DEL-CYB-4975,Cybersecurity Analyst,Education,Deloitte,"Berlin, Germany",1844394,4,Diploma,Internship,"React, Photoshop",25-10-2019,Upwork,Hybrid,4.3,1,344,1,0,1,0,95,84,11,"React, Power BI",5,87,Culture,2.1,19,"WFH, Insurance",No,87,13,111611,44,Low,3,6
TCS-GRA-5533,Graphic Designer,HR,TCS,"New York, USA",1783378,15,Diploma,Full-Time,"Power BI, SQL",10-11-2014,Naukri,Remote,3.2,2,162,2,0,2,0,65,67,-2,"SQL, SEO",11,87,Job Security,2,12,"Bonuses, Perks",Yes,81,19,96760,36,High,1,17
DEL-HR -6463,HR Manager,IT,Deloitte,"Bangalore, India",2900008,10,B.Com,Full-Time,"AWS, Machine Learning",24-04-2017,LinkedIn,Remote,4,8,136,4,3,1,0,62,56,6,"React, Python",9,81,Work-life balance,4.7,20,"WFH, Insurance",Yes,80,20,66049,37,Medium,5,12
NIK-DAT-9258,Data Scientist,Retail,Nike,"Bangalore, India",1765672,11,PhD,Internship,"Machine Learning, SQL",06-10-2017,LinkedIn,Remote,4.3,8,472,3,3,0,0,60,55,5,"React, Power BI",15,84,Growth,5.1,11,"Bonuses, Perks",Yes,81,19,104055,44,Medium,5,4
SAM-HR -7531,HR Manager,Manufacturing,Samsung,"Paris, France",520384,3,M.Sc,Part-time,"Java, HR Policies",21-04-2020,Glassdoor,Hybrid,3.3,8,127,6,0,6,0,81,81,0,"AWS, SEO",13,71,Salary,3.7,15,"WFH, Insurance",No,84,16,246522,38,Medium,3,5
GOO-FIN-3551,Finance Consultant,Marketing,Google,"New York, USA",2716254,2,PhD,Part-time,"React, Python",06-09-2014,Upwork,Onsite,4.3,3,334,2,0,2,0,85,71,14,"Python, HR Policies",7,93,Culture,5.9,15,"Bonuses, Perks",No,86,14,130399,36,Medium,3,4
SAM-DAT-7231,Data Analyst,Finance,Samsung,"Mumbai, India",1897443,13,PhD,Contract,"SQL, Java",12-06-2014,Glassdoor,Onsite,3.8,7,208,1,1,0,0,63,86,-23,"AWS, Power BI",10,71,Salary,3.8,13,"Bonuses, Perks",Yes,79,21,181361,36,High,1,14
AMA-SOF-7718,Software Engineer,Manufacturing,Amazon,"Paris, France",2289220,5,Diploma,Part-time,"Power BI, HR Policies",04-10-2023,Indeed,Hybrid,4.1,1,326,1,1,0,0,81,65,16,"Machine Learning, SEO",14,83,Growth,5.9,13,"WFH, Insurance",No,89,11,168822,35,High,4,2
NIK-SOF-9987,Software Engineer,Design,Nike,"Paris, France",1757874,15,Diploma,Full-Time,"HR Policies, SEO",05-04-2022,Upwork,Onsite,3.3,4,447,2,0,2,0,77,87,-10,"React, Machine Learning",12,95,Work-life balance,4.9,10,"WFH, Insurance",No,78,22,174770,36,Medium,3,5
PFI-GRA-7887,Graphic Designer,HR,Pfizer,"Sydney, Australia",2578364,7,BBA,Internship,"SEO, Power BI",03-03-2015,LinkedIn,Remote,4.4,1,291,1,0,1,0,86,82,4,"Power BI, HR Policies",15,72,Job Security,2.6,17,"Bonuses, Perks",Yes,77,23,133752,37,High,3,4
TCS-DAT-9701,Data Analyst,IT,TCS,"Singapore, Singapore",1127079,13,MBA,Part-time,"Machine Learning, Python",13-08-2017,LinkedIn,Hybrid,4.7,8,259,6,6,0,0,62,61,1,"Java, Machine Learning",7,82,Growth,2.5,12,"Bonuses, Perks",No,77,23,127176,37,Low,3,15
AMA-BIO-2843,Biotech Researcher,Healthcare,Amazon,"Singapore, Singapore",1368257,7,M.Com,Contract,"HR Policies, AWS",06-05-2022,Shine,Onsite,4.5,7,76,4,4,0,0,62,62,0,"Machine Learning, HR Policies",10,74,Salary,2.5,20,"Bonuses, Perks",No,88,12,217096,39,Low,3,9
GOO-BIO-7362,Biotech Researcher,HR,Google,"Dubai, UAE",2529451,14,M.Sc,Contract,"Machine Learning, React",09-07-2017,Upwork,Hybrid,4.1,2,249,1,0,1,0,91,61,30,"Python, Power BI",7,91,Culture,5.9,20,"WFH, Insurance",No,85,15,217867,43,Low,3,12
GOO-CYB-2708,Cybersecurity Analyst,Marketing,Google,"Paris, France",1021555,2,BBA,Full-Time,"Machine Learning, HR Policies",02-07-2014,Naukri,Onsite,4.1,1,478,1,1,0,0,61,61,0,"SQL, Python",6,70,Culture,2,16,"WFH, Insurance",Yes,75,25,185720,39,High,4,4
TES-CYB-4681,Cybersecurity Analyst,IT,Tesla,"Dubai, UAE",1051898,12,B.Sc,Contract,"Power BI, Photoshop",13-07-2018,Naukri,Remote,4.6,3,437,1,1,0,0,76,70,6,"AWS, Java",7,84,Work-life balance,3.2,20,"Bonuses, Perks",No,85,15,154439,38,Low,4,14
AMA-SOF-7730,Software Engineer,Education,Amazon,"Mumbai, India",1657557,8,M.Com,Internship,"Machine Learning, AWS",23-05-2020,Glassdoor,Remote,3.5,6,360,5,3,2,0,91,81,10,"Java, React",5,75,Salary,2.6,10,"WFH, Insurance",Yes,88,12,169946,40,High,1,2
GOO-DAT-1282,Data Scientist,Biotechnology,Google,"Singapore, Singapore",2001493,0,B.Sc,Contract,"AWS, SQL",26-02-2022,Upwork,Hybrid,3.7,9,448,4,0,4,0,88,78,10,"SEO, Machine Learning",6,76,Growth,3.6,16,"WFH, Insurance",Yes,88,12,195784,36,High,3,2
AMA-HR -3545,HR Manager,Education,Amazon,"Dubai, UAE",2312435,2,M.Sc,Part-time,"Java, SQL",14-07-2019,Upwork,Hybrid,4.6,9,415,2,1,1,0,94,87,7,"Python, Power BI",6,95,Salary,2.3,14,"Bonuses, Perks",Yes,75,25,114687,37,Low,4,1
SAM-DAT-7759,Data Scientist,Biotechnology,Samsung,"New York, USA",2144531,4,M.Tech,Full-Time,"Photoshop, Python",10-06-2019,LinkedIn,Remote,3.1,3,422,2,2,0,0,70,90,-20,"SQL, Power BI",5,75,Culture,5.1,10,"WFH, Insurance",No,87,13,146213,42,High,4,6
PFI-HR -9823,HR Manager,Design,Pfizer,"Berlin, Germany",1768816,12,BBA,Full-Time,"Python, SEO",16-10-2017,Shine,Onsite,4.4,8,428,3,0,3,0,83,81,2,"Photoshop, HR Policies",8,80,Salary,5.5,14,"Bonuses, Perks",No,89,11,136626,39,Low,4,7
TCS-MEC-4413,Mechanical Engineer,HR,TCS,"New York, USA",1693742,14,BBA,Full-Time,"Photoshop, SEO",09-06-2021,Shine,Remote,4,1,449,1,0,1,0,83,77,6,"SEO, Python",11,79,Growth,5.1,12,"Bonuses, Perks",No,81,19,204101,40,Low,3,5
TCS-DAT-1402,Data Analyst,Retail,TCS,"Paris, France",1525008,4,PhD,Internship,"Python, HR Policies",17-09-2022,Glassdoor,Onsite,4.6,5,395,5,5,0,0,71,82,-11,"Photoshop, SQL",10,95,Salary,5.6,15,"WFH, Insurance",No,87,13,120628,42,High,5,5
ADO-FIN-5889,Finance Consultant,Biotechnology,Adobe,"Paris, France",2176280,9,Diploma,Part-time,"SEO, Photoshop",01-02-2016,Glassdoor,Hybrid,3.1,5,436,2,1,1,0,91,77,14,"Python, React",7,89,Growth,5.5,10,"WFH, Insurance",No,77,23,233293,36,Medium,5,2
TES-MEC-4001,Mechanical Engineer,Marketing,Tesla,"Bangalore, India",1609173,7,PhD,Contract,"Photoshop, SEO",15-11-2024,Indeed,Remote,3.6,5,141,4,1,3,0,78,89,-11,"SEO, SQL",7,83,Growth,2.4,19,"Bonuses, Perks",No,81,19,222180,41,High,4,9
ADO-DAT-5383,Data Analyst,Retail,Adobe,"Singapore, Singapore",2139238,8,M.Sc,Full-Time,"Python, Power BI",21-12-2024,Indeed,Hybrid,4.5,9,253,1,0,1,0,63,70,-7,"Machine Learning, SEO",5,93,Growth,2.8,18,"WFH, Insurance",Yes,90,10,236857,44,Medium,1,5
TCS-MAR-6019,Marketing Manager,Marketing,TCS,"Dubai, UAE",1108938,0,Diploma,Part-time,"Machine Learning, SEO",19-12-2022,Naukri,Hybrid,4.9,1,197,1,0,1,0,70,79,-9,"SQL, SEO",13,75,Work-life balance,5.4,11,"WFH, Insurance",No,87,13,247749,37,Low,1,2
MIC-CYB-1913,Cybersecurity Analyst,Design,Microsoft,"Mumbai, India",1353314,8,M.Sc,Part-time,"AWS, Power BI",04-03-2015,Upwork,Onsite,3.3,7,162,1,1,0,0,94,90,4,"SEO, Java",11,79,Salary,5.2,19,"WFH, Insurance",No,76,24,188199,36,Low,1,9
SAM-HR -6205,HR Manager,Retail,Samsung,"Berlin, Germany",655421,2,MBA,Full-Time,"Machine Learning, HR Policies",09-08-2015,LinkedIn,Remote,4.5,6,249,4,0,4,0,82,57,25,"Machine Learning, React",13,84,Culture,4.1,14,"Bonuses, Perks",Yes,89,11,133606,40,Medium,3,4
SAM-SOF-4573,Software Engineer,IT,Samsung,"New York, USA",2503628,14,B.Sc,Part-time,"Power BI, Python",14-02-2022,Shine,Remote,3.4,3,452,3,2,1,0,95,80,15,"React, HR Policies",11,79,Job Security,3.8,11,"WFH, Insurance",No,82,18,231256,36,Low,3,15
DEL-SOF-4881,Software Engineer,Education,Deloitte,"Toronto, Canada",1705950,9,B.Com,Contract,"React, Photoshop",22-07-2024,Upwork,Hybrid,3.6,4,362,3,1,2,0,72,76,-4,"HR Policies, SQL",10,93,Salary,2.6,19,"Bonuses, Perks",No,80,20,127507,36,Low,3,11
NIK-MAR-4533,Marketing Manager,Retail,Nike,,2678204,15,M.Tech,Contract,"SQL, SEO",15-02-2020,Naukri,Hybrid,4.2,5,467,3,2,1,0,63,57,6,"React, AWS",8,92,Salary,3.8,17,"WFH, Insurance",Yes,76,24,78482,41,High,4,7
ADO-MEC-3118,Mechanical Engineer,Retail,Adobe,"Toronto, Canada",506356,9,Diploma,Part-time,"SEO, Python",08-06-2017,LinkedIn,Onsite,3.3,5,305,2,1,1,0,63,63,0,"Python, Photoshop",13,90,Growth,3.2,20,"WFH, Insurance",No,83,17,193043,43,High,2,11
